 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,A_t5_1.tif,1.566,255,255,255,33.864,0.371,730,0
2,A_t5_1.tif,0.836,255,255,255,45.241,0.585,1005,1
3,A_t5_1.tif,1.245,255,255,255,102.774,1.053,2282,8
4,A_t5_1.tif,0.938,255,255,255,10.902,0.975,239,10
5,A_t5_1.tif,1.064,255,255,255,58.865,1.112,1308,12
6,A_t5_1.tif,2.210,255,255,255,8.468,1.716,198,19
7,A_t5_1.tif,1.177,255,255,255,81.084,1.663,1804,20
8,A_t5_1.tif,1.294,255,255,255,66.798,1.631,1490,22
9,A_t5_1.tif,3.425,255,255,255,74.404,2.234,1643,24
10,A_t5_1.tif,0.466,255,255,255,91.178,1.800,2026,31
11,A_t5_1.tif,1.239,255,255,255,98.514,2.212,2185,40
12,A_t5_1.tif,1.360,255,255,255,100.592,2.408,2223,41
13,A_t5_1.tif,1.344,255,255,255,82.498,2.466,1824,44
14,A_t5_1.tif,0.924,255,255,255,37.191,2.554,823,45
15,A_t5_1.tif,0.940,255,255,255,78.720,2.797,1746,50
16,A_t5_1.tif,0.172,255,255,255,97.132,2.637,2158,54
17,A_t5_1.tif,1.217,255,255,255,99.586,3.254,2215,56
18,A_t5_1.tif,0.295,255,255,255,0.170,3.229,0,61
19,A_t5_1.tif,1.110,255,255,255,98.628,3.383,2192,61
20,A_t5_1.tif,0.900,255,255,255,30.894,3.306,684,62
21,A_t5_1.tif,0.398,255,255,255,101.954,3.126,2266,62
22,A_t5_1.tif,1.142,255,255,255,40.314,3.414,893,63
23,A_t5_1.tif,1.223,255,255,255,27.902,3.751,620,66
24,A_t5_1.tif,0.815,255,255,255,41.314,3.591,915,68
25,A_t5_1.tif,1.279,255,255,255,40.110,4.421,882,84
26,A_t5_1.tif,0.886,255,255,255,98.527,4.410,2184,86
27,A_t5_1.tif,1.035,255,255,255,41.335,4.575,909,91
28,A_t5_1.tif,1.390,255,255,255,94.594,5.143,2096,101
29,A_t5_1.tif,2.012,255,255,255,61.677,5.426,1371,105
30,A_t5_1.tif,1.031,255,255,255,41.475,5.605,914,113
31,A_t5_1.tif,5.296,255,255,255,43.370,6.899,935,113
32,A_t5_1.tif,1.152,255,255,255,79.680,6.083,1769,122
33,A_t5_1.tif,0.718,255,255,255,40.665,6.097,897,126
34,A_t5_1.tif,0.688,255,255,255,34.189,6.440,757,133
35,A_t5_1.tif,0.630,255,255,255,0.190,7.053,0,137
36,A_t5_1.tif,1.784,255,255,255,84.281,6.742,1869,137
37,A_t5_1.tif,0.888,255,255,255,9.099,6.740,201,138
38,A_t5_1.tif,0.813,255,255,255,15.473,7.115,342,147
39,A_t5_1.tif,1.945,255,255,255,94.240,7.825,2098,155
40,A_t5_1.tif,2.886,255,255,255,72.638,8.302,1611,156
41,A_t5_1.tif,0.575,255,255,255,63.791,7.976,1418,168
42,A_t5_1.tif,1.493,255,255,255,71.162,8.397,1593,169
43,A_t5_1.tif,1.804,255,255,255,75.365,8.544,1682,170
44,A_t5_1.tif,0.321,255,255,255,43.077,8.168,957,175
45,A_t5_1.tif,1.177,255,255,255,113.077,9.065,2515,186
46,A_t5_1.tif,1.027,255,255,255,35.686,8.983,795,188
47,A_t5_1.tif,0.993,255,255,255,73.258,9.821,1629,203
48,A_t5_1.tif,0.507,255,255,255,83.301,9.919,1850,209
49,A_t5_1.tif,1.564,255,255,255,77.243,10.474,1714,214
50,A_t5_1.tif,0.944,255,255,255,63.494,10.439,1407,223
51,A_t5_1.tif,2.226,255,255,255,67.196,10.870,1492,224
52,A_t5_1.tif,1.489,255,255,255,6.816,10.857,145,225
53,A_t5_1.tif,0.694,255,255,255,5.731,10.872,128,233
54,A_t5_1.tif,1.023,255,255,255,92.237,11.504,2044,243
55,A_t5_1.tif,2.111,255,255,255,55.174,12.184,1209,248
56,A_t5_1.tif,1.338,255,255,255,89.192,12.124,1980,251
57,A_t5_1.tif,1.288,255,255,255,66.194,12.092,1471,253
58,A_t5_1.tif,0.400,255,255,255,6.897,12.093,153,262
59,A_t5_1.tif,1.235,255,255,255,8.008,12.492,171,264
60,A_t5_1.tif,0.878,255,255,255,27.742,12.580,612,269
61,A_t5_1.tif,1.663,255,255,255,9.824,13.316,207,283
62,A_t5_1.tif,4.692,255,255,255,4.309,14.222,82,286
63,A_t5_1.tif,1.663,255,255,255,81.197,14.104,1807,290
64,A_t5_1.tif,1.092,255,255,255,109.472,14.120,2433,302
65,A_t5_1.tif,2.226,255,255,255,116.108,15.056,2587,311
66,A_t5_1.tif,0.888,255,255,255,34.410,14.642,760,315
67,A_t5_1.tif,1.401,255,255,255,55.351,14.715,1218,316
68,A_t5_1.tif,1.053,255,255,255,21.879,14.911,491,321
69,A_t5_1.tif,0.991,255,255,255,56.560,15.597,1256,334
70,A_t5_1.tif,0.856,255,255,255,117.515,17.127,2612,370
71,A_t5_1.tif,0.735,255,255,255,36.384,17.777,806,385
72,A_t5_1.tif,0.733,255,255,255,33.557,18.250,745,395
73,A_t5_1.tif,0.852,255,255,255,96.881,18.352,2152,397
74,A_t5_1.tif,0.646,255,255,255,36.830,18.488,822,400
75,A_t5_1.tif,1.249,255,255,255,21.103,19.106,460,411
76,A_t5_1.tif,0.918,255,255,255,113.956,19.180,2536,414
77,A_t5_1.tif,1.162,255,255,255,96.755,19.485,2147,418
78,A_t5_1.tif,0.985,255,255,255,45.351,19.544,1007,423
79,A_t5_1.tif,1.015,255,255,255,44.961,20.405,990,444
80,A_t5_1.tif,1.524,255,255,255,97.698,20.652,2152,449
81,A_t5_1.tif,0.444,255,255,255,62.493,20.541,1388,450
82,A_t5_1.tif,0.924,255,255,255,105.077,20.953,2338,455
83,A_t5_1.tif,1.403,255,255,255,31.626,21.443,703,461
84,A_t5_1.tif,1.070,255,255,255,38.882,21.974,868,476
85,A_t5_1.tif,1.976,255,255,255,50.295,22.266,1109,477
86,A_t5_1.tif,1.134,255,255,255,7.970,22.191,175,480
87,A_t5_1.tif,0.985,255,255,255,60.667,22.095,1354,480
88,A_t5_1.tif,1.201,255,255,255,15.209,22.383,334,486
89,A_t5_1.tif,1.249,255,255,255,72.670,22.506,1608,488
90,A_t5_1.tif,1.661,255,255,255,113.267,22.723,2517,489
91,A_t5_1.tif,1.334,255,255,255,111.932,22.884,2487,495
92,A_t5_1.tif,1.185,255,255,255,25.267,23.315,545,506
93,A_t5_1.tif,5.746,255,255,255,108.774,24.792,2408,526
94,A_t5_1.tif,0.951,255,255,255,26.731,24.238,586,529
95,A_t5_1.tif,0.603,255,255,255,58.059,24.416,1288,533
96,A_t5_1.tif,1.253,255,255,255,28.183,24.988,623,538
97,A_t5_1.tif,0.949,255,255,255,63.531,24.914,1411,542
98,A_t5_1.tif,0.765,255,255,255,20.907,24.920,460,544
99,A_t5_1.tif,1.084,255,255,255,53.034,25.162,1172,548
100,A_t5_1.tif,0.926,255,255,255,52.073,25.371,1149,551
101,A_t5_1.tif,0.503,255,255,255,93.255,25.235,2073,554
102,A_t5_1.tif,1.162,255,255,255,10.234,25.488,214,555
103,A_t5_1.tif,0.638,255,255,255,75.807,25.396,1684,555
104,A_t5_1.tif,1.053,255,255,255,91.274,25.455,2026,555
105,A_t5_1.tif,1.427,255,255,255,29.677,25.570,661,558
106,A_t5_1.tif,1.055,255,255,255,48.859,25.815,1095,561
107,A_t5_1.tif,1.300,255,255,255,51.349,26.125,1143,563
108,A_t5_1.tif,1.023,255,255,255,75.018,25.986,1663,566
109,A_t5_1.tif,1.179,255,255,255,5.968,26.224,132,569
110,A_t5_1.tif,1.162,255,255,255,0.812,26.407,15,573
111,A_t5_1.tif,1.201,255,255,255,53.321,26.341,1175,573
112,A_t5_1.tif,1.728,255,255,255,52.324,27.102,1166,586
113,A_t5_1.tif,1.340,255,255,255,14.363,26.992,312,587
114,A_t5_1.tif,1.401,255,255,255,5.557,27.355,117,592
115,A_t5_1.tif,2.757,255,255,255,60.428,27.916,1333,598
116,A_t5_1.tif,1.390,255,255,255,112.846,27.875,2521,602
117,A_t5_1.tif,1.300,255,255,255,47.457,28.580,1051,621
118,A_t5_1.tif,0.902,255,255,255,98.157,28.826,2187,627
119,A_t5_1.tif,1.275,255,255,255,79.969,28.866,1773,628
120,A_t5_1.tif,0.940,255,255,255,113.159,28.829,2518,628
121,A_t5_1.tif,1.972,255,255,255,103.055,29.077,2273,629
122,A_t5_1.tif,0.745,255,255,255,120.429,28.890,2681,629
123,A_t5_1.tif,1.473,255,255,255,83.225,29.408,1852,633
124,A_t5_1.tif,1.144,255,255,255,99.301,29.221,2206,641
125,A_t5_1.tif,2.188,255,255,255,78.728,29.752,1764,643
126,A_t5_1.tif,1.366,255,255,255,31.409,29.713,686,644
127,A_t5_1.tif,1.550,255,255,255,81.245,29.437,1792,644
128,A_t5_1.tif,0.971,255,255,255,119.673,29.664,2652,648
129,A_t5_1.tif,0.293,255,255,255,82.454,29.456,1830,649
130,A_t5_1.tif,1.508,255,255,255,14.745,29.989,320,653
131,A_t5_1.tif,1.225,255,255,255,97.993,30.100,2173,654
132,A_t5_1.tif,1.055,255,255,255,23.076,30.092,505,657
133,A_t5_1.tif,1.477,255,255,255,111.315,30.315,2481,658
134,A_t5_1.tif,0.428,255,255,255,87.189,29.930,1939,659
135,A_t5_1.tif,0.884,255,255,255,13.789,30.480,305,665
136,A_t5_1.tif,0.793,255,255,255,32.580,30.525,717,666
137,A_t5_1.tif,0.884,255,255,255,43.685,30.499,971,667
138,A_t5_1.tif,0.963,255,255,255,79.495,30.423,1780,667
139,A_t5_1.tif,1.645,255,255,255,82.790,31.394,1839,675
140,A_t5_1.tif,0.749,255,255,255,117.404,31.078,2621,677
141,A_t5_1.tif,1.441,255,255,255,78.498,31.408,1732,682
142,A_t5_1.tif,1.619,255,255,255,25.583,31.238,571,685
143,A_t5_1.tif,1.094,255,255,255,63.143,31.239,1408,685
144,A_t5_1.tif,1.053,255,255,255,71.834,31.460,1604,686
145,A_t5_1.tif,0.767,255,255,255,98.113,31.343,2174,687
146,A_t5_1.tif,0.519,255,255,255,32.936,31.241,723,689
147,A_t5_1.tif,0.611,255,255,255,33.751,31.727,746,696
148,A_t5_1.tif,1.756,255,255,255,70.115,32.266,1563,701
149,A_t5_1.tif,1.064,255,255,255,34.995,32.095,762,704
150,A_t5_1.tif,1.152,255,255,255,53.842,32.693,1195,714
151,A_t5_1.tif,1.473,255,255,255,22.097,33.390,487,722
152,A_t5_1.tif,1.013,255,255,255,26.773,33.637,588,738
153,A_t5_1.tif,1.037,255,255,255,70.729,33.735,1564,740
154,A_t5_1.tif,1.324,255,255,255,103.393,34.477,2302,748
155,A_t5_1.tif,0.868,255,255,255,108.029,34.058,2395,748
156,A_t5_1.tif,0.951,255,255,255,26.213,34.429,576,756
157,A_t5_1.tif,1.641,255,255,255,70.923,34.826,1564,761
158,A_t5_1.tif,0.981,255,255,255,92.607,35.222,2054,769
159,A_t5_1.tif,0.206,255,255,255,89.872,35.203,1998,777
160,A_t5_1.tif,1.233,255,255,255,15.009,35.794,322,784
161,A_t5_1.tif,1.041,255,255,255,99.259,35.879,2205,786
162,A_t5_1.tif,1.328,255,255,255,103.334,36.118,2291,786
163,A_t5_1.tif,1.021,255,255,255,98.929,36.720,2193,803
164,A_t5_1.tif,1.687,255,255,255,12.037,37.080,261,808
165,A_t5_1.tif,0.999,255,255,255,101.503,36.975,2258,810
166,A_t5_1.tif,1.066,255,255,255,8.310,37.108,181,811
167,A_t5_1.tif,1.118,255,255,255,1.702,37.323,32,818
168,A_t5_1.tif,0.821,255,255,255,76.036,38.048,1689,836
169,A_t5_1.tif,1.425,255,255,255,28.071,38.129,624,837
170,A_t5_1.tif,1.019,255,255,255,90.010,38.164,1996,839
171,A_t5_1.tif,2.042,255,255,255,56.552,39.190,1241,847
172,A_t5_1.tif,1.885,255,255,255,42.683,39.141,939,855
173,A_t5_1.tif,1.025,255,255,255,95.480,39.076,2113,859
174,A_t5_1.tif,1.703,255,255,255,26.662,39.432,592,864
175,A_t5_1.tif,1.449,255,255,255,97.966,40.672,2177,890
176,A_t5_1.tif,0.803,255,255,255,70.818,40.794,1571,896
177,A_t5_1.tif,0.900,255,255,255,9.165,41.207,200,907
178,A_t5_1.tif,1.689,255,255,255,44.274,41.962,980,916
179,A_t5_1.tif,1.768,255,255,255,62.373,42.666,1394,924
180,A_t5_1.tif,1.142,255,255,255,43.125,42.444,955,927
181,A_t5_1.tif,1.919,255,255,255,110.689,42.963,2468,932
182,A_t5_1.tif,1.068,255,255,255,15.463,42.741,341,937
183,A_t5_1.tif,0.926,255,255,255,72.512,43.137,1613,948
184,A_t5_1.tif,0.947,255,255,255,83.978,43.584,1863,956
185,A_t5_1.tif,0.753,255,255,255,36.659,44.098,813,971
186,A_t5_1.tif,1.060,255,255,255,72.588,44.190,1604,972
187,A_t5_1.tif,0.856,255,255,255,32.757,44.464,727,976
188,A_t5_1.tif,2.052,255,255,255,61.950,44.705,1367,978
189,A_t5_1.tif,1.029,255,255,255,42.190,45.038,940,986
190,A_t5_1.tif,0.063,255,255,255,100.378,44.508,2232,988
191,A_t5_1.tif,0.759,255,255,255,63.864,45.513,1415,1002
192,A_t5_1.tif,0.753,255,255,255,61.515,45.778,1364,1006
193,A_t5_1.tif,0.761,255,255,255,47.539,45.864,1053,1010
194,A_t5_1.tif,0.989,255,255,255,65.095,46.300,1446,1020
195,A_t5_1.tif,0.823,255,255,255,64.002,46.476,1415,1024
196,A_t5_1.tif,1.271,255,255,255,62.973,46.646,1400,1025
197,A_t5_1.tif,0.674,255,255,255,73.059,47.911,1619,1056
198,A_t5_1.tif,1.364,255,255,255,29.528,48.423,660,1059
199,A_t5_1.tif,1.166,255,255,255,46.791,48.217,1030,1062
200,A_t5_1.tif,1.142,255,255,255,97.481,49.046,2164,1079
201,A_t5_1.tif,2.305,255,255,255,80.476,49.545,1787,1084
202,A_t5_1.tif,0.573,255,255,255,92.028,50.265,2044,1107
203,A_t5_1.tif,1.657,255,255,255,28.432,51.084,628,1119
204,A_t5_1.tif,1.354,255,255,255,113.577,50.968,2529,1120
205,A_t5_1.tif,0.176,255,255,255,9.636,50.773,212,1125
206,A_t5_1.tif,0.928,255,255,255,100.813,51.216,2243,1127
207,A_t5_1.tif,0.478,255,255,255,38.236,51.306,849,1133
208,A_t5_1.tif,1.544,255,255,255,118.984,52.007,2638,1139
209,A_t5_1.tif,1.211,255,255,255,4.917,52.121,99,1150
210,A_t5_1.tif,1.604,255,255,255,110.858,52.552,2467,1156
211,A_t5_1.tif,1.847,255,255,255,92.591,53.216,2055,1164
212,A_t5_1.tif,1.003,255,255,255,13.064,52.917,288,1165
213,A_t5_1.tif,1.306,255,255,255,75.833,53.339,1681,1172
214,A_t5_1.tif,0.926,255,255,255,4.016,53.230,80,1174
215,A_t5_1.tif,1.150,255,255,255,13.726,53.768,305,1182
216,A_t5_1.tif,1.707,255,255,255,104.870,54.959,2330,1201
217,A_t5_1.tif,0.971,255,255,255,86.637,54.577,1921,1202
218,A_t5_1.tif,1.954,255,255,255,50.417,55.238,1118,1214
219,A_t5_1.tif,1.582,255,255,255,26.698,55.969,588,1222
220,A_t5_1.tif,1.235,255,255,255,93.593,55.749,2076,1228
221,A_t5_1.tif,1.748,255,255,255,101.363,55.887,2264,1228
222,A_t5_1.tif,0.862,255,255,255,107.509,55.710,2391,1230
223,A_t5_1.tif,0.595,255,255,255,105.512,56.193,2344,1240
224,A_t5_1.tif,0.418,255,255,255,110.965,56.072,2469,1240
225,A_t5_1.tif,1.055,255,255,255,114.307,57.041,2541,1254
226,A_t5_1.tif,0.579,255,255,255,79.948,57.002,1780,1257
227,A_t5_1.tif,1.203,255,255,255,54.915,57.153,1218,1259
228,A_t5_1.tif,0.571,255,255,255,105.700,57.134,2345,1262
229,A_t5_1.tif,1.691,255,255,255,92.585,57.805,2053,1271
230,A_t5_1.tif,0.725,255,255,255,45.617,57.947,1012,1279
231,A_t5_1.tif,0.791,255,255,255,46.466,57.957,1028,1279
232,A_t5_1.tif,1.455,255,255,255,79.323,58.293,1771,1279
233,A_t5_1.tif,1.033,255,255,255,58.741,58.342,1298,1288
234,A_t5_1.tif,1.655,255,255,255,25.889,59.086,565,1293
235,A_t5_1.tif,1.429,255,255,255,63.587,59.132,1421,1302
236,A_t5_1.tif,0.787,255,255,255,7.608,59.847,168,1321
237,A_t5_1.tif,0.555,255,255,255,102.225,59.861,2272,1324
238,A_t5_1.tif,1.328,255,255,255,86.651,60.837,1926,1339
239,A_t5_1.tif,1.578,255,255,255,87.741,60.947,1948,1339
240,A_t5_1.tif,1.931,255,255,255,30.470,61.205,688,1340
241,A_t5_1.tif,1.007,255,255,255,53.031,60.949,1184,1345
242,A_t5_1.tif,1.550,255,255,255,38.583,61.570,857,1348
243,A_t5_1.tif,0.085,255,255,255,111.254,60.930,2473,1353
244,A_t5_1.tif,1.118,255,255,255,88.750,61.554,1974,1355
245,A_t5_1.tif,0.783,255,255,255,52.161,61.628,1162,1358
246,A_t5_1.tif,0.396,255,255,255,36.410,61.442,807,1360
247,A_t5_1.tif,1.142,255,255,255,19.681,61.643,433,1361
248,A_t5_1.tif,1.023,255,255,255,100.002,61.823,2219,1364
249,A_t5_1.tif,0.947,255,255,255,66.994,61.860,1485,1367
250,A_t5_1.tif,1.665,255,255,255,72.909,62.386,1607,1367
251,A_t5_1.tif,1.049,255,255,255,68.173,61.912,1517,1368
252,A_t5_1.tif,1.677,255,255,255,27.587,62.187,593,1369
253,A_t5_1.tif,1.253,255,255,255,68.606,62.809,1535,1381
254,A_t5_1.tif,0.882,255,255,255,17.744,62.591,390,1382
255,A_t5_1.tif,1.762,255,255,255,79.228,62.851,1754,1387
256,A_t5_1.tif,1.033,255,255,255,72.039,63.206,1607,1394
257,A_t5_1.tif,1.076,255,255,255,91.431,63.421,2025,1401
258,A_t5_1.tif,0.920,255,255,255,73.817,63.971,1639,1408
