 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,B_t5_1.tif,0.902,255,255,255,16.909,0.350,362,0
2,B_t5_1.tif,0.648,255,255,255,21.780,0.296,472,0
3,B_t5_1.tif,0.440,255,255,255,75.376,0.253,1667,0
4,B_t5_1.tif,1.298,255,255,255,82.508,0.645,1830,0
5,B_t5_1.tif,0.561,255,255,255,21.175,0.862,468,9
6,B_t5_1.tif,1.661,255,255,255,22.387,1.251,497,12
7,B_t5_1.tif,0.716,255,255,255,17.513,1.119,389,14
8,B_t5_1.tif,0.335,255,255,255,16.455,1.469,366,24
9,B_t5_1.tif,1.058,255,255,255,89.589,2.276,1986,39
10,B_t5_1.tif,0.618,255,255,255,85.248,3.034,1894,58
11,B_t5_1.tif,0.743,255,255,255,92.764,3.411,2065,68
12,B_t5_1.tif,0.137,255,255,255,27.828,3.653,616,77
13,B_t5_1.tif,1.146,255,255,255,99.533,5.516,2210,109
14,B_t5_1.tif,0.769,255,255,255,95.509,5.459,2122,111
15,B_t5_1.tif,0.930,255,255,255,100.534,5.694,2232,114
16,B_t5_1.tif,0.129,255,255,255,20.216,5.468,448,117
17,B_t5_1.tif,0.898,255,255,255,107.359,6.673,2386,138
18,B_t5_1.tif,0.648,255,255,255,108.007,7.288,2405,150
19,B_t5_1.tif,0.274,255,255,255,116.464,7.101,2589,152
20,B_t5_1.tif,0.967,255,255,255,54.495,8.413,1203,176
21,B_t5_1.tif,1.136,255,255,255,58.059,9.022,1292,184
22,B_t5_1.tif,1.211,255,255,255,56.907,8.945,1264,188
23,B_t5_1.tif,0.496,255,255,255,11.348,8.989,246,192
24,B_t5_1.tif,0.932,255,255,255,32.542,9.307,728,196
25,B_t5_1.tif,0.850,255,255,255,12.519,9.771,267,207
26,B_t5_1.tif,0.777,255,255,255,96.333,9.802,2141,207
27,B_t5_1.tif,1.126,255,255,255,13.673,10.397,307,220
28,B_t5_1.tif,1.286,255,255,255,71.667,10.790,1592,222
29,B_t5_1.tif,0.387,255,255,255,82.670,10.378,1836,224
30,B_t5_1.tif,0.807,255,255,255,64.802,10.610,1437,225
31,B_t5_1.tif,0.700,255,255,255,5.485,11.181,117,239
32,B_t5_1.tif,1.382,255,255,255,79.844,11.802,1771,248
33,B_t5_1.tif,1.259,255,255,255,112.303,12.153,2491,254
34,B_t5_1.tif,0.448,255,255,255,55.771,11.930,1238,258
35,B_t5_1.tif,1.158,255,255,255,37.903,12.860,849,270
36,B_t5_1.tif,1.859,255,255,255,79.541,13.242,1763,271
37,B_t5_1.tif,1.134,255,255,255,93.693,12.907,2079,274
38,B_t5_1.tif,2.006,255,255,255,78.426,13.446,1743,279
39,B_t5_1.tif,1.072,255,255,255,56.003,13.172,1237,281
40,B_t5_1.tif,0.791,255,255,255,28.796,13.530,643,289
41,B_t5_1.tif,0.856,255,255,255,16.117,13.698,355,292
42,B_t5_1.tif,4.186,255,255,255,63.364,14.246,1396,293
43,B_t5_1.tif,0.537,255,255,255,85.694,14.283,1901,310
44,B_t5_1.tif,0.125,255,255,255,97.754,14.488,2174,317
45,B_t5_1.tif,1.005,255,255,255,13.414,15.020,301,319
46,B_t5_1.tif,4.230,255,255,255,63.234,16.209,1386,337
47,B_t5_1.tif,0.418,255,255,255,97.518,15.675,2168,338
48,B_t5_1.tif,1.039,255,255,255,34.266,16.417,747,352
49,B_t5_1.tif,1.215,255,255,255,58.519,17.258,1297,366
50,B_t5_1.tif,0.662,255,255,255,90.721,17.041,2013,370
51,B_t5_1.tif,1.090,255,255,255,19.082,19.346,422,418
52,B_t5_1.tif,2.908,255,255,255,67.434,20.063,1489,426
53,B_t5_1.tif,0.850,255,255,255,30.516,19.857,673,427
54,B_t5_1.tif,1.023,255,255,255,75.365,20.179,1671,437
55,B_t5_1.tif,1.847,255,255,255,102.701,20.640,2280,443
56,B_t5_1.tif,1.017,255,255,255,36.010,20.868,798,453
57,B_t5_1.tif,0.763,255,255,255,48.487,21.383,1067,468
58,B_t5_1.tif,1.041,255,255,255,12.269,22.827,267,496
59,B_t5_1.tif,0.674,255,255,255,54.570,22.795,1212,497
60,B_t5_1.tif,0.432,255,255,255,84.009,23.533,1866,516
61,B_t5_1.tif,1.399,255,255,255,76.759,24.018,1702,520
62,B_t5_1.tif,0.827,255,255,255,64.272,24.086,1424,525
63,B_t5_1.tif,1.455,255,255,255,66.186,24.687,1465,535
64,B_t5_1.tif,0.541,255,255,255,104.292,24.926,2317,546
65,B_t5_1.tif,0.406,255,255,255,98.346,24.917,2185,547
66,B_t5_1.tif,1.017,255,255,255,77.474,25.519,1715,556
67,B_t5_1.tif,0.678,255,255,255,94.073,25.523,2089,558
68,B_t5_1.tif,0.065,255,255,255,53.729,25.651,1194,568
69,B_t5_1.tif,0.293,255,255,255,26.139,27.200,580,599
70,B_t5_1.tif,1.033,255,255,255,42.358,27.521,936,600
71,B_t5_1.tif,1.709,255,255,255,42.406,28.772,934,625
72,B_t5_1.tif,0.113,255,255,255,69.901,28.446,1554,629
73,B_t5_1.tif,2.145,255,255,255,52.843,29.239,1165,634
74,B_t5_1.tif,1.146,255,255,255,51.491,29.204,1141,636
75,B_t5_1.tif,1.031,255,255,255,50.450,29.277,1117,639
76,B_t5_1.tif,0.846,255,255,255,42.755,29.857,958,655
77,B_t5_1.tif,0.555,255,255,255,32.081,30.182,709,663
78,B_t5_1.tif,1.021,255,255,255,102.951,30.306,2286,664
79,B_t5_1.tif,0.809,255,255,255,113.827,30.445,2530,665
80,B_t5_1.tif,0.692,255,255,255,72.689,30.490,1611,669
81,B_t5_1.tif,2.674,255,255,255,42.663,31.279,938,671
82,B_t5_1.tif,1.487,255,255,255,114.891,30.881,2544,673
83,B_t5_1.tif,1.209,255,255,255,43.912,31.209,972,680
84,B_t5_1.tif,1.068,255,255,255,67.230,31.234,1497,680
85,B_t5_1.tif,0.949,255,255,255,103.670,31.192,2310,680
86,B_t5_1.tif,1.661,255,255,255,98.870,31.710,2203,685
87,B_t5_1.tif,0.840,255,255,255,25.517,32.057,571,700
88,B_t5_1.tif,1.134,255,255,255,63.891,32.923,1426,722
89,B_t5_1.tif,1.124,255,255,255,24.946,33.279,556,724
90,B_t5_1.tif,0.539,255,255,255,81.342,33.437,1806,735
91,B_t5_1.tif,0.817,255,255,255,55.622,33.645,1233,738
92,B_t5_1.tif,0.825,255,255,255,82.203,33.594,1819,738
93,B_t5_1.tif,0.959,255,255,255,106.739,33.826,2369,743
94,B_t5_1.tif,1.134,255,255,255,83.342,33.999,1844,744
95,B_t5_1.tif,0.787,255,255,255,29.436,34.133,651,749
96,B_t5_1.tif,0.389,255,255,255,16.579,34.186,365,754
97,B_t5_1.tif,0.650,255,255,255,80.995,34.634,1799,761
98,B_t5_1.tif,0.936,255,255,255,15.482,35.042,348,767
99,B_t5_1.tif,1.195,255,255,255,95.144,35.438,2113,776
100,B_t5_1.tif,1.096,255,255,255,40.364,36.308,898,796
101,B_t5_1.tif,0.579,255,255,255,51.444,36.587,1142,805
102,B_t5_1.tif,0.468,255,255,255,4.627,36.766,100,810
103,B_t5_1.tif,0.983,255,255,255,24.537,38.189,542,837
104,B_t5_1.tif,1.162,255,255,255,0.506,39.013,0,852
105,B_t5_1.tif,1.235,255,255,255,3.540,39.246,75,854
106,B_t5_1.tif,0.938,255,255,255,70.652,39.783,1563,872
107,B_t5_1.tif,0.335,255,255,255,64.016,40.293,1421,890
108,B_t5_1.tif,0.377,255,255,255,10.281,41.798,224,923
109,B_t5_1.tif,0.377,255,255,255,114.607,42.477,2547,938
110,B_t5_1.tif,1.033,255,255,255,0.677,42.737,9,939
111,B_t5_1.tif,1.619,255,255,255,86.845,43.209,1921,945
112,B_t5_1.tif,1.243,255,255,255,73.080,43.411,1625,953
113,B_t5_1.tif,1.290,255,255,255,21.297,44.265,468,972
114,B_t5_1.tif,2.611,255,255,255,11.283,44.979,242,978
115,B_t5_1.tif,0.759,255,255,255,100.835,44.804,2241,985
116,B_t5_1.tif,1.031,255,255,255,35.609,45.432,791,997
117,B_t5_1.tif,1.239,255,255,255,47.414,45.363,1055,998
118,B_t5_1.tif,1.162,255,255,255,41.742,45.798,924,1006
119,B_t5_1.tif,4.371,255,255,255,65.342,46.252,1458,1006
120,B_t5_1.tif,0.898,255,255,255,27.574,45.828,614,1007
121,B_t5_1.tif,1.086,255,255,255,88.532,46.639,1964,1024
122,B_t5_1.tif,1.104,255,255,255,40.603,46.765,899,1025
123,B_t5_1.tif,0.438,255,255,255,50.019,46.444,1107,1027
124,B_t5_1.tif,0.591,255,255,255,50.773,46.962,1125,1033
125,B_t5_1.tif,0.825,255,255,255,14.789,46.991,323,1035
126,B_t5_1.tif,3.949,255,255,255,87.761,48.539,1956,1041
127,B_t5_1.tif,2.137,255,255,255,61.195,47.976,1361,1047
128,B_t5_1.tif,1.340,255,255,255,115.251,47.820,2551,1054
