 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,C_t5_1.tif,0.327,255,255,255,57.275,0.235,1267,0
2,C_t5_1.tif,0.563,255,255,255,57.014,1.043,1267,11
3,C_t5_1.tif,0.809,255,255,255,11.549,1.109,249,16
4,C_t5_1.tif,1.217,255,255,255,113.366,1.957,2527,33
5,C_t5_1.tif,1.308,255,255,255,45.392,3.381,1005,51
6,C_t5_1.tif,0.850,255,255,255,104.343,4.309,2327,80
7,C_t5_1.tif,1.100,255,255,255,99.702,4.413,2214,89
8,C_t5_1.tif,1.191,255,255,255,1.439,5.755,28,109
9,C_t5_1.tif,0.575,255,255,255,54.453,5.472,1209,112
10,C_t5_1.tif,0.957,255,255,255,108.862,6.955,2419,143
11,C_t5_1.tif,0.254,255,255,255,94.424,7.835,2099,168
12,C_t5_1.tif,0.896,255,255,255,1.071,8.533,22,173
13,C_t5_1.tif,0.781,255,255,255,36.456,9.373,813,191
14,C_t5_1.tif,0.791,255,255,255,48.641,9.467,1078,200
15,C_t5_1.tif,1.907,255,255,255,2.699,9.946,61,207
16,C_t5_1.tif,0.252,255,255,255,0.283,9.629,0,209
17,C_t5_1.tif,0.315,255,255,255,0.467,10.309,8,223
18,C_t5_1.tif,0.357,255,255,255,1.158,10.386,23,225
19,C_t5_1.tif,0.860,255,255,255,0.308,11.284,0,235
20,C_t5_1.tif,0.630,255,255,255,1.532,11.086,39,237
21,C_t5_1.tif,0.662,255,255,255,1.976,11.875,41,253
22,C_t5_1.tif,0.961,255,255,255,83.864,12.384,1851,259
23,C_t5_1.tif,1.122,255,255,255,1.402,12.545,19,262
24,C_t5_1.tif,0.700,255,255,255,0.563,12.767,5,270
25,C_t5_1.tif,1.419,255,255,255,30.971,13.404,677,280
26,C_t5_1.tif,0.975,255,255,255,83.195,13.524,1856,284
27,C_t5_1.tif,0.279,255,255,255,0.172,13.901,1,301
28,C_t5_1.tif,1.007,255,255,255,3.678,14.819,80,311
29,C_t5_1.tif,0.190,255,255,255,45.001,14.497,1002,314
30,C_t5_1.tif,1.322,255,255,255,2.568,15.074,59,317
31,C_t5_1.tif,0.424,255,255,255,1.441,15.118,35,323
32,C_t5_1.tif,1.229,255,255,255,75.711,15.793,1676,338
33,C_t5_1.tif,0.632,255,255,255,63.280,15.786,1401,346
34,C_t5_1.tif,0.597,255,255,255,3.206,16.029,68,347
35,C_t5_1.tif,0.438,255,255,255,0.279,16.423,2,356
36,C_t5_1.tif,1.100,255,255,255,2.241,16.518,36,357
37,C_t5_1.tif,0.652,255,255,255,1.067,16.941,13,368
38,C_t5_1.tif,0.981,255,255,255,2.996,17.422,70,376
39,C_t5_1.tif,1.175,255,255,255,97.406,18.120,2158,387
40,C_t5_1.tif,0.436,255,255,255,26.371,18.178,585,397
41,C_t5_1.tif,0.761,255,255,255,33.127,18.639,737,399
42,C_t5_1.tif,0.567,255,255,255,44.892,18.314,1000,399
43,C_t5_1.tif,0.141,255,255,255,15.542,18.473,343,406
