 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,C_t5_1.tif,0.836,255,255,255,57.111,0.786,1269,0
2,C_t5_1.tif,0.860,255,255,255,11.517,1.112,242,17
3,C_t5_1.tif,0.149,255,255,255,18.893,1.529,419,29
4,C_t5_1.tif,0.821,255,255,255,113.356,1.943,2534,34
5,C_t5_1.tif,0.844,255,255,255,49.600,3.031,1097,47
6,C_t5_1.tif,1.144,255,255,255,45.384,3.374,1003,49
7,C_t5_1.tif,0.906,255,255,255,104.348,4.296,2330,77
8,C_t5_1.tif,0.920,255,255,255,99.701,4.433,2208,91
9,C_t5_1.tif,0.985,255,255,255,1.482,5.752,33,107
10,C_t5_1.tif,0.422,255,255,255,54.456,5.443,1215,111
11,C_t5_1.tif,0.523,255,255,255,108.867,6.948,2417,145
12,C_t5_1.tif,0.319,255,255,255,94.417,7.822,2098,167
13,C_t5_1.tif,0.279,255,255,255,12.276,7.816,270,169
14,C_t5_1.tif,1.261,255,255,255,0.839,8.910,21,170
15,C_t5_1.tif,0.125,255,255,255,0.404,8.077,7,175
16,C_t5_1.tif,0.813,255,255,255,36.499,9.206,816,186
17,C_t5_1.tif,0.476,255,255,255,48.628,9.457,1086,201
18,C_t5_1.tif,2.200,255,255,255,83.524,12.905,1849,254
19,C_t5_1.tif,0.947,255,255,255,1.357,12.479,18,259
20,C_t5_1.tif,0.825,255,255,255,30.947,13.349,677,280
21,C_t5_1.tif,0.383,255,255,255,0.200,13.902,7,298
22,C_t5_1.tif,0.953,255,255,255,45.092,14.369,1010,298
23,C_t5_1.tif,0.071,255,255,255,1.636,13.670,35,301
24,C_t5_1.tif,0.908,255,255,255,1.598,14.764,42,306
25,C_t5_1.tif,2.442,255,255,255,3.030,15.755,83,308
26,C_t5_1.tif,0.392,255,255,255,0.708,14.439,17,310
27,C_t5_1.tif,0.914,255,255,255,2.528,15.105,59,317
28,C_t5_1.tif,0.289,255,255,255,0.556,15.551,8,340
29,C_t5_1.tif,0.702,255,255,255,75.729,15.802,1676,340
30,C_t5_1.tif,0.930,255,255,255,63.285,15.790,1421,344
31,C_t5_1.tif,0.842,255,255,255,0.725,16.720,6,357
32,C_t5_1.tif,0.543,255,255,255,2.998,17.422,72,378
33,C_t5_1.tif,2.024,255,255,255,98.188,18.920,2157,386
34,C_t5_1.tif,0.836,255,255,255,33.112,18.630,737,396
35,C_t5_1.tif,0.408,255,255,255,26.369,18.185,589,397
36,C_t5_1.tif,1.055,255,255,255,44.437,18.500,1005,398
37,C_t5_1.tif,0.143,255,255,255,27.216,18.151,602,400
38,C_t5_1.tif,0.531,255,255,255,15.303,18.663,342,404
39,C_t5_1.tif,0.583,255,255,255,53.645,19.117,1186,412
40,C_t5_1.tif,0.264,255,255,255,47.374,18.974,1053,415
41,C_t5_1.tif,0.349,255,255,255,14.698,19.541,331,428
42,C_t5_1.tif,0.400,255,255,255,83.148,20.002,1854,437
43,C_t5_1.tif,0.476,255,255,255,74.996,22.570,1663,491
44,C_t5_1.tif,0.569,255,255,255,15.902,23.074,348,501
45,C_t5_1.tif,0.448,255,255,255,81.555,23.076,1811,504
46,C_t5_1.tif,0.379,255,255,255,45.495,23.394,1015,513
47,C_t5_1.tif,1.257,255,255,255,69.520,24.432,1544,516
48,C_t5_1.tif,0.188,255,255,255,29.616,23.431,656,517
49,C_t5_1.tif,0.777,255,255,255,59.852,23.835,1317,518
50,C_t5_1.tif,0.827,255,255,255,52.441,24.019,1179,522
51,C_t5_1.tif,1.568,255,255,255,111.109,24.522,2469,531
52,C_t5_1.tif,0.585,255,255,255,52.817,24.960,1183,546
53,C_t5_1.tif,0.749,255,255,255,116.830,25.571,2607,553
54,C_t5_1.tif,0.478,255,255,255,54.705,25.436,1210,557
55,C_t5_1.tif,0.605,255,255,255,14.530,26.030,317,566
56,C_t5_1.tif,0.672,255,255,255,107.183,25.857,2374,567
57,C_t5_1.tif,0.422,255,255,255,26.496,26.193,593,573
58,C_t5_1.tif,0.668,255,255,255,13.772,26.411,301,574
59,C_t5_1.tif,0.607,255,255,255,15.438,26.705,336,580
60,C_t5_1.tif,0.753,255,255,255,14.750,27.596,315,599
61,C_t5_1.tif,0.478,255,255,255,93.582,27.984,2077,612
62,C_t5_1.tif,0.690,255,255,255,16.441,27.948,354,613
63,C_t5_1.tif,0.765,255,255,255,108.277,28.837,2419,629
64,C_t5_1.tif,0.616,255,255,255,12.802,28.993,290,634
65,C_t5_1.tif,0.632,255,255,255,38.679,29.016,869,637
66,C_t5_1.tif,0.347,255,255,255,74.843,28.955,1662,637
67,C_t5_1.tif,0.878,255,255,255,73.404,29.503,1643,640
68,C_t5_1.tif,0.739,255,255,255,71.103,29.602,1571,646
69,C_t5_1.tif,0.101,255,255,255,99.075,29.430,2203,651
70,C_t5_1.tif,0.381,255,255,255,101.581,29.636,2257,651
71,C_t5_1.tif,0.708,255,255,255,67.616,29.658,1494,653
72,C_t5_1.tif,0.325,255,255,255,72.353,29.735,1606,656
73,C_t5_1.tif,0.985,255,255,255,72.775,31.234,1603,675
74,C_t5_1.tif,0.230,255,255,255,93.151,30.879,2070,681
75,C_t5_1.tif,0.222,255,255,255,93.790,31.685,2084,698
76,C_t5_1.tif,0.930,255,255,255,19.444,33.082,421,718
77,C_t5_1.tif,0.438,255,255,255,72.503,33.041,1607,727
78,C_t5_1.tif,0.616,255,255,255,15.831,33.790,347,737
79,C_t5_1.tif,0.071,255,255,255,104.675,33.381,2328,740
80,C_t5_1.tif,0.087,255,255,255,13.443,34.155,296,757
81,C_t5_1.tif,0.414,255,255,255,52.156,34.338,1155,758
82,C_t5_1.tif,0.400,255,255,255,44.948,34.859,1003,764
83,C_t5_1.tif,0.987,255,255,255,30.753,35.046,667,771
84,C_t5_1.tif,0.396,255,255,255,52.309,35.274,1156,779
85,C_t5_1.tif,1.128,255,255,255,3.545,36.140,64,783
86,C_t5_1.tif,0.392,255,255,255,45.073,36.199,1003,796
87,C_t5_1.tif,0.389,255,255,255,24.136,36.381,533,802
88,C_t5_1.tif,0.381,255,255,255,32.083,37.092,717,815
89,C_t5_1.tif,0.410,255,255,255,106.278,38.436,2361,847
90,C_t5_1.tif,0.274,255,255,255,118.121,38.778,2629,856
91,C_t5_1.tif,0.910,255,255,255,18.578,39.547,398,871
92,C_t5_1.tif,0.103,255,255,255,39.985,39.422,887,874
93,C_t5_1.tif,0.971,255,255,255,9.194,39.964,223,880
94,C_t5_1.tif,0.315,255,255,255,69.539,40.137,1543,887
95,C_t5_1.tif,0.450,255,255,255,78.432,40.661,1746,893
96,C_t5_1.tif,0.898,255,255,255,9.721,41.093,218,895
97,C_t5_1.tif,1.114,255,255,255,56.323,41.881,1248,908
98,C_t5_1.tif,0.254,255,255,255,57.454,41.144,1276,910
99,C_t5_1.tif,0.095,255,255,255,117.453,41.627,2612,923
100,C_t5_1.tif,1.481,255,255,255,41.684,42.055,914,924
101,C_t5_1.tif,0.200,255,255,255,117.117,42.066,2606,930
102,C_t5_1.tif,0.404,255,255,255,22.946,42.613,506,940
103,C_t5_1.tif,0.176,255,255,255,116.744,42.831,2595,949
104,C_t5_1.tif,0.644,255,255,255,42.416,43.471,949,952
105,C_t5_1.tif,0.357,255,255,255,108.678,43.163,2414,952
106,C_t5_1.tif,0.702,255,255,255,17.147,43.572,389,957
107,C_t5_1.tif,0.178,255,255,255,82.024,43.307,1822,959
108,C_t5_1.tif,0.311,255,255,255,41.431,43.620,920,963
109,C_t5_1.tif,0.315,255,255,255,51.214,43.707,1142,965
110,C_t5_1.tif,0.335,255,255,255,36.016,43.671,798,966
111,C_t5_1.tif,0.985,255,255,255,87.741,43.760,1967,966
112,C_t5_1.tif,0.864,255,255,255,43.295,44.157,973,968
113,C_t5_1.tif,0.230,255,255,255,28.717,43.914,634,973
114,C_t5_1.tif,0.133,255,255,255,37.291,44.078,828,977
115,C_t5_1.tif,0.264,255,255,255,36.581,44.258,807,980
116,C_t5_1.tif,0.410,255,255,255,40.611,44.678,897,985
117,C_t5_1.tif,0.900,255,255,255,42.271,45.458,928,992
118,C_t5_1.tif,0.706,255,255,255,62.611,45.399,1383,997
119,C_t5_1.tif,0.289,255,255,255,43.325,45.382,960,1003
120,C_t5_1.tif,0.733,255,255,255,41.046,46.113,901,1015
121,C_t5_1.tif,0.733,255,255,255,40.749,46.959,895,1035
122,C_t5_1.tif,0.436,255,255,255,4.883,47.179,104,1042
123,C_t5_1.tif,0.327,255,255,255,109.516,47.256,2428,1047
124,C_t5_1.tif,0.291,255,255,255,35.828,47.769,796,1057
125,C_t5_1.tif,0.188,255,255,255,19.676,48.127,430,1067
126,C_t5_1.tif,0.067,255,255,255,20.463,48.366,453,1074
127,C_t5_1.tif,0.664,255,255,255,108.626,49.414,2408,1085
128,C_t5_1.tif,0.680,255,255,255,52.778,49.411,1177,1086
129,C_t5_1.tif,0.404,255,255,255,3.380,49.197,74,1088
130,C_t5_1.tif,1.322,255,255,255,49.291,49.730,1081,1088
131,C_t5_1.tif,0.541,255,255,255,93.426,49.797,2082,1098
132,C_t5_1.tif,0.460,255,255,255,62.504,49.977,1386,1101
133,C_t5_1.tif,0.087,255,255,255,108.156,49.624,2405,1101
134,C_t5_1.tif,0.569,255,255,255,46.846,50.025,1049,1103
135,C_t5_1.tif,1.477,255,255,255,105.303,50.910,2327,1104
136,C_t5_1.tif,0.829,255,255,255,107.906,50.569,2409,1112
137,C_t5_1.tif,0.050,255,255,255,27.740,50.292,615,1117
138,C_t5_1.tif,0.353,255,255,255,97.927,50.532,2183,1117
139,C_t5_1.tif,0.517,255,255,255,102.534,50.654,2287,1119
140,C_t5_1.tif,0.410,255,255,255,104.300,50.724,2318,1120
141,C_t5_1.tif,0.535,255,255,255,54.893,50.950,1227,1124
142,C_t5_1.tif,0.559,255,255,255,46.784,51.120,1044,1125
143,C_t5_1.tif,0.460,255,255,255,59.142,51.027,1321,1126
144,C_t5_1.tif,0.902,255,255,255,108.655,51.833,2417,1133
145,C_t5_1.tif,1.669,255,255,255,102.646,52.116,2286,1136
146,C_t5_1.tif,0.353,255,255,255,45.891,51.635,1017,1142
