 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,B_t5_3.tif,0.430,255,255,255,30.575,0.723,677,9
2,B_t5_3.tif,1.009,255,255,255,25.004,2.419,552,42
3,B_t5_3.tif,1.033,255,255,255,70.446,3.319,1554,61
4,B_t5_3.tif,1.191,255,255,255,25.478,4.151,555,75
5,B_t5_3.tif,0.204,255,255,255,29.643,3.948,658,82
6,B_t5_3.tif,0.440,255,255,255,3.363,4.448,73,86
7,B_t5_3.tif,0.910,255,255,255,87.673,5.083,1942,103
8,B_t5_3.tif,0.902,255,255,255,97.555,5.512,2177,107
9,B_t5_3.tif,0.840,255,255,255,57.065,5.738,1267,117
10,B_t5_3.tif,0.716,255,255,255,116.054,5.984,2584,123
11,B_t5_3.tif,0.793,255,255,255,17.932,6.341,401,130
12,B_t5_3.tif,0.123,255,255,255,42.784,6.086,950,131
13,B_t5_3.tif,0.250,255,255,255,63.313,6.445,1404,139
14,B_t5_3.tif,0.908,255,255,255,109.791,8.072,2441,169
15,B_t5_3.tif,0.535,255,255,255,37.197,8.412,832,178
16,B_t5_3.tif,2.250,255,255,255,83.921,8.923,1872,179
17,B_t5_3.tif,0.293,255,255,255,99.692,8.402,2219,180
18,B_t5_3.tif,1.160,255,255,255,21.009,9.200,467,190
19,B_t5_3.tif,0.494,255,255,255,36.526,9.070,815,191
20,B_t5_3.tif,0.840,255,255,255,85.039,9.462,1883,198
21,B_t5_3.tif,0.603,255,255,255,115.427,9.315,2564,198
22,B_t5_3.tif,2.182,255,255,255,40.747,10.270,915,203
23,B_t5_3.tif,1.328,255,255,255,27.155,9.887,606,207
24,B_t5_3.tif,0.153,255,255,255,29.674,9.680,659,210
25,B_t5_3.tif,0.319,255,255,255,104.519,10.479,2324,227
26,B_t5_3.tif,0.803,255,255,255,92.593,10.765,2055,230
27,B_t5_3.tif,0.587,255,255,255,80.782,11.815,1794,250
28,B_t5_3.tif,1.041,255,255,255,115.698,12.647,2571,272
29,B_t5_3.tif,0.212,255,255,255,119.228,13.463,2653,292
30,B_t5_3.tif,0.753,255,255,255,47.467,14.074,1054,302
31,B_t5_3.tif,0.702,255,255,255,34.879,14.290,767,307
32,B_t5_3.tif,0.349,255,255,255,25.187,14.175,558,308
33,B_t5_3.tif,1.390,255,255,255,1.965,14.858,57,320
34,B_t5_3.tif,0.535,255,255,255,111.391,14.917,2479,321
35,B_t5_3.tif,0.583,255,255,255,80.350,15.846,1785,345
36,B_t5_3.tif,0.942,255,255,255,114.835,16.457,2548,354
37,B_t5_3.tif,0.795,255,255,255,11.279,16.394,248,357
38,B_t5_3.tif,0.882,255,255,255,119.018,16.630,2643,359
39,B_t5_3.tif,0.260,255,255,255,86.855,17.131,1929,376
40,B_t5_3.tif,0.153,255,255,255,81.824,17.176,1816,378
41,B_t5_3.tif,0.272,255,255,255,62.451,17.834,1389,390
42,B_t5_3.tif,0.321,255,255,255,107.228,17.837,2385,390
43,B_t5_3.tif,0.531,255,255,255,86.215,19.290,1917,421
44,B_t5_3.tif,0.133,255,255,255,28.812,19.391,639,427
45,B_t5_3.tif,1.269,255,255,255,91.453,19.954,2030,431
46,B_t5_3.tif,0.987,255,255,255,2.206,20.776,42,448
47,B_t5_3.tif,1.047,255,255,255,100.304,21.157,2221,457
48,B_t5_3.tif,0.503,255,255,255,68.288,21.060,1514,461
49,B_t5_3.tif,1.175,255,255,255,17.943,21.556,396,466
50,B_t5_3.tif,0.365,255,255,255,85.759,21.387,1907,469
51,B_t5_3.tif,0.387,255,255,255,17.031,21.758,374,470
52,B_t5_3.tif,1.423,255,255,255,42.016,22.871,927,493
