 ,Label,Area,Mean,Min,Max,X,Y,XStart,YStart
1,A_t5_4.tif,1.156,255,255,255,21.488,0.484,465,0
2,A_t5_4.tif,0.398,255,255,255,37.842,0.213,831,0
3,A_t5_4.tif,0.890,255,255,255,76.975,0.476,1702,0
4,A_t5_4.tif,1.651,255,255,255,87.626,0.612,1929,0
5,A_t5_4.tif,0.995,255,255,255,0.493,0.876,8,5
6,A_t5_4.tif,0.547,255,255,255,3.437,1.527,77,23
7,A_t5_4.tif,1.403,255,255,255,0.416,2.942,11,42
8,A_t5_4.tif,0.500,255,255,255,93.461,2.702,2077,51
9,A_t5_4.tif,0.733,255,255,255,57.153,2.912,1272,57
10,A_t5_4.tif,1.550,255,255,255,2.996,3.403,74,61
11,A_t5_4.tif,2.396,255,255,255,1.013,4.252,22,62
12,A_t5_4.tif,0.519,255,255,255,56.137,3.214,1248,63
13,A_t5_4.tif,0.024,255,255,255,78.006,3.220,1736,69
14,A_t5_4.tif,1.518,255,255,255,45.424,3.735,997,70
15,A_t5_4.tif,0.379,255,255,255,23.722,3.536,525,71
16,A_t5_4.tif,1.253,255,255,255,115.770,3.869,2581,72
17,A_t5_4.tif,0.817,255,255,255,75.914,3.754,1682,75
18,A_t5_4.tif,1.009,255,255,255,109.196,4.266,2427,82
19,A_t5_4.tif,0.769,255,255,255,114.478,4.223,2545,84
20,A_t5_4.tif,0.420,255,255,255,14.727,4.288,325,88
21,A_t5_4.tif,0.392,255,255,255,114.028,5.046,2536,103
22,A_t5_4.tif,1.235,255,255,255,54.356,5.397,1209,107
23,A_t5_4.tif,0.595,255,255,255,112.335,5.232,2496,108
24,A_t5_4.tif,0.303,255,255,255,48.892,5.283,1084,110
25,A_t5_4.tif,0.793,255,255,255,55.290,6.052,1226,122
26,A_t5_4.tif,1.001,255,255,255,53.004,6.405,1190,130
27,A_t5_4.tif,0.438,255,255,255,54.459,6.376,1205,134
28,A_t5_4.tif,0.212,255,255,255,49.517,6.518,1099,137
29,A_t5_4.tif,0.666,255,255,255,47.094,6.513,1046,138
30,A_t5_4.tif,0.967,255,255,255,96.832,6.785,2143,139
31,A_t5_4.tif,0.513,255,255,255,9.480,6.791,210,141
32,A_t5_4.tif,1.798,255,255,255,23.176,7.273,521,141
33,A_t5_4.tif,0.876,255,255,255,58.966,6.808,1305,141
34,A_t5_4.tif,0.468,255,255,255,73.477,6.899,1636,142
35,A_t5_4.tif,0.805,255,255,255,55.853,6.946,1245,143
36,A_t5_4.tif,0.614,255,255,255,16.507,7.318,364,149
37,A_t5_4.tif,0.505,255,255,255,51.635,7.151,1159,149
38,A_t5_4.tif,0.589,255,255,255,49.214,7.701,1096,155
39,A_t5_4.tif,0.678,255,255,255,54.268,7.473,1204,156
40,A_t5_4.tif,0.801,255,255,255,55.259,7.714,1224,157
41,A_t5_4.tif,0.531,255,255,255,50.549,7.538,1134,160
42,A_t5_4.tif,0.718,255,255,255,58.457,7.654,1296,160
43,A_t5_4.tif,0.216,255,255,255,109.148,7.374,2422,160
44,A_t5_4.tif,1.011,255,255,255,59.673,7.917,1322,163
45,A_t5_4.tif,0.656,255,255,255,56.387,7.968,1247,167
46,A_t5_4.tif,0.010,255,255,255,33.338,7.893,742,174
47,A_t5_4.tif,0.611,255,255,255,54.692,8.394,1209,177
48,A_t5_4.tif,0.032,255,255,255,109.712,8.148,2441,179
49,A_t5_4.tif,0.547,255,255,255,48.779,8.661,1088,183
50,A_t5_4.tif,0.115,255,255,255,109.436,8.474,2435,184
51,A_t5_4.tif,0.587,255,255,255,69.471,8.955,1545,187
52,A_t5_4.tif,0.890,255,255,255,76.749,8.885,1707,187
53,A_t5_4.tif,0.365,255,255,255,55.793,8.958,1242,189
54,A_t5_4.tif,0.823,255,255,255,75.530,9.034,1682,190
55,A_t5_4.tif,0.571,255,255,255,77.559,9.419,1728,196
56,A_t5_4.tif,0.523,255,255,255,109.735,9.493,2441,202
57,A_t5_4.tif,0.559,255,255,255,54.598,9.587,1211,203
58,A_t5_4.tif,0.622,255,255,255,56.149,9.933,1259,204
59,A_t5_4.tif,1.556,255,255,255,29.790,10.468,662,210
60,A_t5_4.tif,0.513,255,255,255,109.162,10.097,2430,214
61,A_t5_4.tif,1.776,255,255,255,78.598,10.548,1741,219
62,A_t5_4.tif,1.358,255,255,255,8.121,10.443,176,220
63,A_t5_4.tif,0.618,255,255,255,11.557,10.350,254,221
64,A_t5_4.tif,0.476,255,255,255,61.900,10.292,1374,221
65,A_t5_4.tif,0.505,255,255,255,58.206,10.488,1299,224
66,A_t5_4.tif,1.007,255,255,255,46.489,10.989,1039,227
67,A_t5_4.tif,0.567,255,255,255,1.702,10.965,37,234
68,A_t5_4.tif,0.846,255,255,255,8.669,11.425,194,243
69,A_t5_4.tif,1.064,255,255,255,91.240,11.878,2030,243
70,A_t5_4.tif,1.009,255,255,255,14.250,11.684,304,250
71,A_t5_4.tif,0.505,255,255,255,119.341,11.855,2660,252
72,A_t5_4.tif,0.654,255,255,255,89.089,11.818,1978,254
73,A_t5_4.tif,0.928,255,255,255,15.362,12.315,334,260
74,A_t5_4.tif,0.593,255,255,255,54.003,12.041,1200,260
75,A_t5_4.tif,0.452,255,255,255,62.849,12.115,1392,261
76,A_t5_4.tif,0.616,255,255,255,100.648,12.613,2236,268
77,A_t5_4.tif,0.999,255,255,255,46.534,12.542,1022,270
78,A_t5_4.tif,0.464,255,255,255,119.691,12.743,2662,273
79,A_t5_4.tif,0.057,255,255,255,85.220,12.591,1896,277
80,A_t5_4.tif,0.226,255,255,255,8.632,12.808,192,278
81,A_t5_4.tif,0.460,255,255,255,63.116,12.987,1399,279
82,A_t5_4.tif,0.775,255,255,255,83.143,13.102,1857,279
83,A_t5_4.tif,0.450,255,255,255,55.026,13.882,1219,301
84,A_t5_4.tif,0.842,255,255,255,43.229,14.308,958,307
85,A_t5_4.tif,0.414,255,255,255,33.692,14.356,751,311
86,A_t5_4.tif,0.371,255,255,255,101.037,14.350,2249,314
87,A_t5_4.tif,0.700,255,255,255,24.247,14.646,544,316
88,A_t5_4.tif,0.488,255,255,255,102.433,14.723,2280,319
89,A_t5_4.tif,0.345,255,255,255,39.208,14.600,868,320
90,A_t5_4.tif,1.518,255,255,255,100.942,15.312,2243,325
91,A_t5_4.tif,0.961,255,255,255,59.082,15.569,1310,333
92,A_t5_4.tif,0.934,255,255,255,102.561,15.571,2288,334
